"Right of Public Access (Courts)","Derived from 1st Amendment. Ensures public/press access to criminal trials (*Richmond Newspapers*)."
"Data Subject","The individual whose information is being processed."
"Data Controller","The entity that decides how and why data is processed (has the ultimate authority)."
"Data Processor","The entity that processes data on behalf of the controller. Can only do what the controller authorizes."
"Data Processor Synonyms","Business Associate (HIPAA), Service Provider (GLBA)."
"Processing (Definition)","Any operation performed on data (collection, storage, deletion, etc.)."
"FIPs / FIPPs","Fair Information Practices. Principles guiding data management for fairness, privacy, and security. Foundation for regulations but often not binding themselves."
"1973 HEW Report (Significance)","First US articulation of FIPs. Established 5 principles: No secret records, Individual access, Limit secondary use, Correction rights, Data reliability."
"Privacy Act of 1974","Codified FIPs for federal agencies (not the private sector)."
"2012 FTC Report (Three Key Areas)","1. Privacy by Design<br>2. Simplified Consumer Choice (e.g., Do-Not-Track)<br>3. Transparency"
"OECD Guidelines (1980)","Eight principles including Collection Limitation, Data Quality, Purpose Specification, Use Limitation, Security Safeguards, Openness, Individual Participation, and Accountability."
"Council of Europe Convention 108 (1981)","First binding international agreement requiring FIPs in domestic law."
"Accountability Principle","Organizations must take responsibility for protecting PI and be able to *demonstrate* compliance (via documentation, training, etc.)."
"Responsibility for Compliance","Ultimatley lies with the Data Controller, NOT the regulator."
"Demonstrating Compliance","Requires documentation (e.g., recording training attendance) to prove measures are in place."
"Right to Financial Privacy Act (RFPA) Scope","Regulates federal government access to financial records of individuals/partnerships of **5 or fewer** (corporations excluded)."
"RFPA Access Methods (5 Types)","Customer Authorization, Administrative Subpoena (10/14 day quash), Judicial Subpoena, Search Warrant (90 day delay), Formal Written Request."
"Bank Secrecy Act (Regulator)","FinCEN (Financial Crimes Enforcement Network)."
"Currency Transaction Report (CTR)","Must report currency transactions > $10,000."
"Suspicious Activity Report (SAR) Thresholds","Insider (Any amount), Criminal >$5k (identified), Criminal >$25k (unidentified), Suspicious >$5k (laundering)."
"SAR Confidentiality","Strictly prohibited from notifying the customer that a SAR has been filed."
"USA PATRIOT Act (KYC/CIP)","Requires Customer Identification Programs (Verify Name, DoB, Address, ID)."
"Wiretap Act (Title I ECPA)","Prohibits unauthorized interception of 'real-time' communications (Wire, Oral, Electronic)."
"Wiretap Act 'Super-Warrant' (4 Hurdles)","1. Predicate Crime.<br>2. Particularity.<br>3. Necessity (failed normal methods).<br>4. Minimization."
"Wiretap Consent","Federal: One-party consent.<br>Some States (CA/MA): Two-party (all-party) consent."
"Stored Communications Act (Title II ECPA)","Regulates access to stored electronic communications (ECS) and remote computing services (RCS)."
"SCA Government Access Standard (Content)","<= 180 days: **Search Warrant**.<br>Metadata: **2703(d) Court Order** ('specific and articulable facts')."
"SCA Voluntary Disclosure","Providers generally PROHIBITED from disclosing content, but PERMITTED to disclose non-content (metadata)."
"Pen Register (Title III ECPA)","Records **outgoing** numbers (dialing info)."
"Trap and Trace (Title III ECPA)","Records **incoming** numbers (origin of call)."
"Pen/Trap Legal Standard","Certification of 'relevance to an ongoing criminal investigation' (Judge MUST issue order). No probable cause needed."
"CLOUD Act","Compels U.S. companies to provide data stored on servers regardless of physical location (overseas)."
"CALEA (Digital Telephony Bill)","Requires telecom carriers (and broadband ISPs/VoIP) to design systems with 'baked-in' surveillance capabilities."
"Keith Case (US v. US District Court)","Held that 4th Amendment Warrant requirement applies to domestic national security threats. Precursor to FISA."
"FISA Court (FISC) Structure","11 federal judges appointed by Chief Justice for non-renewable 7-year terms."
"FISA Standard (Patriot Act Change)","Foreign intelligence need only be a **'significant purpose'** (not primary)."
"FISA Section 702","Authorizes mass surveillance of **non-U.S. persons located abroad** (PRISM/Upstream)."
"HIPAA Scope (Covered Entities)","Health Plans, Clearinghouses, and Providers who transmit health info electronically."
"HIPAA Scope (Business Associate)","Third party that creates, receives, maintains, or transmits PHI on behalf of a Covered Entity. Directly liable under HITECH."
"HIPAA Employment Record Exclusion","HIPAA explicitly EXCLUDES employment records held by a covered entity in its role as an employer."
"HIPAA Privacy Rule (Minimum Necessary)","Requires that the minimum amount of PHI necessary to accomplish the purpose be used/disclosed."
"Designated Record Set (Access Right)","Patients have the right to access medical/billing records. Request must be fulfilled within **30 days**."
"Valid Authorization (6 Elements)","1. Description of info.<br>2. Identity of granter.<br>3. Identity of recipient.<br>4. Purpose.<br>5. Expiration date.<br>6. Signature/Date."
"HIPAA Security Rule (Addressable Specifications)","Controls that must be assessed. If not reasonable/appropriate, entity must document why and implement an equivalent alternative."
"HITECH Breach Standard","A breach is **presumed** unless the entity demonstrates a **low probability** that PHI was compromised via a risk assessment."
"Breach Risk Assessment (4 Factors)","1. Nature/extent of PHI.<br>2. Unauthorized person identity.<br>3. Whether PHI was acquired/viewed.<br>4. Mitigation extent."
"Breach Notification (Media)","Must notify media within 60 days if breach affects >500 residents of a single state/jurisdiction."
"Breach Notification (HHS)","If >500: Immediate notification.<br>If <500: Annual log (reported within 60 days of year-end)."
"HIPAA 2021 Safe Harbor","HHS may mitigate fines/audits if 'recognized security practices' (NIST/405(d)) were in place for **12 months** prior."
"21st Century Cures Act (Info Blocking)","Prohibits interference with ePHI access. Penalties up to $1M per violation."
"Certificates of Confidentiality","Issued by NIH to prevent research data from being used in legal proceedings without consent."
"42 CFR Part 2 (Strict Consent)","Requires specific consent including the 'Part 2 Program' name and a prohibition on **redisclosure**."
"42 CFR Part 2 (Redisclosure)","Recipients are strictly prohibited from redisclosing Part 2 records without new patient consent."
"M&A Due Diligence (Privacy)","Process of identifying target's privacy risks (compliance, contracts, DPAs) before assuming liability."
"M&A Asset Transfer","Transfer of customer data = **Change of Controller**. New owner assumes responsibility for laws/agreements."
"Post-Integration Assessment","Combined entity needs a fresh **Privacy Impact Assessment (PIA)** to evaluate new flows/risks."
"Divestiture Risks","1. Data left behind on sold assets (servers/laptops).<br>2. Untangling shared infrastructure (HR/CRM systems)."
"Global Privacy Enforcement Network (GPEN)","OECD network for regulator cooperation. US participants: **FTC, FCC, California AG**."
"Rationalizing Requirements (Compliance Strategy)","'Most Restrictive Law' approach. Implementing the highest standard globally to manage conflicting laws."
"Global CBPR Forum (2022)","International certification system established by US, Canada, Japan (expands beyond APEC members)."
"U.S. Discovery vs. GDPR Conflict","US courts require disclosure; GDPR prohibits it. Courts look for 'good faith efforts' to reconcile."
"Personal Information (PI) (General Scope)","Information that protects 'personal information' or PII. Distinction depends on how easily data can be associated with a specific person."
"Identified Individual","Someone who can be ascertained with certainty (e.g., via SSN)."
"Identifiable Individual","Someone who can be indirectly identified through a combination of factors (e.g., City + Gender + Birth Year)."
"Linkability","The amount of effort required to link data to a specific individual."
"IP Addresses (Regulatory View)","Historically non-personal, but the FTC increasingly views static IP addresses as identifiable PI."
"Strong Identifiers","Data that is identifying without additional context (e.g., SSN, Passport #)."
"Weak Identifiers","General data belonging to multiple people, needed in combination for identification (e.g., Height, Home Address)."
"Quasi-Identifiers","Data combined with external knowledge to link it to an individual."
"Suppression (Anonymization)","Removing identifying information or values from a data set."
"Generalization (Anonymization)","Reducing granularity by replacing specific info with more general elements (e.g., removing house # from address)."
"Top- and Bottom-Coding","Grouping the extreme ends of a range into a single category (e.g., income > $100k or < $20k) to hide outliers."
"Noise Addition (Anonymization)","Replacing actual values with data from the same class to maintain statistical properties while hiding individuals."
"Aggregation","Using statistics from groups of records rather than individual data."
"Differential Privacy","A mathematical framework introducing 'noise' to provide a guarantee of indistinguishability for individuals in a dataset."
"Anonymity Metrics","Methods to measure success of anonymization: k-anonymity, l-diversity, and t-closeness."
"Non-Public Information","The primary focus of privacy protection laws (as opposed to Public Records)."
"Public Records","Information like court filings that is generally less protected."
"Termination Procedures (Immediate Steps)","Revoke physical access (keys/badges) and digital access (network/email) immediately."
"Termination (BYOD/Remote Data)","Since physical return is impossible, require written confirmation of data deletion from personal devices."
"Continuing Obligations","Remind departing employee of ongoing confidentiality duties (Trade Secrets/IP)."
"Records Retention (Personnel Files)","Must follow statutory schedules for reviews, disciplinary records, medical info to comply with laws/e-discovery."
"FACTA Disposal Rule (Post-Employment)","Applies to background/credit reports in former employee files. Requires 'reasonable measures' to destroy (burn/shred/erase)."
"Employee References (Federal Law)","No federal requirement to provide references."
"Service Letter Acts (State Law)","Some states require providing a reference letter upon request."
"Kansas Service Letter Requirements","Must state: 1. Length of employment. 2. Job classification. 3. Pay rate."
"Defamation (References)","Liability for making false, damaging statements about a former employee (libel/slander)."
"Qualified Privilege (References)","Legal protection for employers giving honest references without malice."
"Neutral Reference Policy","Common practice to mitigate defamation risk. Confirm ONLY: Dates of employment and Job Title."
"Privacy-Enhancing Technologies (PETs)","Technologies whose purpose is privacy. Focus on minimizing possession of personal data without losing functionality."
"Privacy Engineers (Goal)","Focus on achieving 'freedom from conditions' that create problems for individuals during data processing."
"Identifiability","The degree to which data can be directly attributed to an individual."
"Linkability","The amount of effort required to link data to a specific individual."
"Strong Identifiers","Data identifying without context (e.g., SSN, Passport #)."
"Weak Identifiers","General data needing combination for identification (e.g., Height, Home Address)."
"Quasi-Identifiers","Data combined with external knowledge to link it to an individual."
"Suppression (Anonymization)","Removing identifying information or values from a data set."
"Generalization (Anonymization)","Reducing granularity by replacing specific info with more general elements (e.g., removing house #)."
"Top- and Bottom-Coding","Grouping extreme ends of a range into a single category (e.g., Income > $100k) to hide outliers."
"Noise Addition","Replacing actual values with data from the same class to maintain statistical properties while hiding individuals."
"Anonymity Metrics (3 Types)","k-anonymity, l-diversity, t-closeness."
"Aggregation","Using statistics from groups of records rather than individual data."
"Differential Privacy","Mathematical framework introducing 'noise' to provide a guarantee of indistinguishability and plausible deniability."
"Federal Trade Commission (FTC) (Primary Authority)","Enforces Section 5 (Unfair/Deceptive Practices), COPPA (Children), and Telemarketing Sales Rule."
"Federal Communications Commission (FCC) (Authority)","Regulates telecommunications, enforcing laws like the TCPA."
"Dept. of Health and Human Services (HHS) (Authority)","Enforces HIPAA (Privacy & Security Rules) for healthcare."
"Concurrent Jurisdiction (Example)","Multiple agencies regulating the same issue (e.g., HHS handles HIPAA admin enforcement, DOJ handles criminal HIPAA charges, FTC handles unfair/deceptive practices in health)."
"Consumer Financial Protection Bureau (CFPB) (Authority)","Regulates consumer financial products and parts of FCRA."
"Department of Commerce (Role)","Handles policy development and international frameworks (e.g., Data Privacy Framework). Does NOT have enforcement authority."
"State Attorneys General (Powers)","Chief legal officers of the states. Enforce state UDAP laws. Can also enforce federal laws like HIPAA and FCRA."
"UDAP Statutes (State Scope)","Every state has a UDAP law. Many are broader than the FTC Act, prohibiting 'unconscionable' practices."
"UDAP Private Right of Action (Gap-Filler)","Every state except Iowa provides a Private Right of Action under UDAP, filling the gap left by the FTC Act's lack of PRA."
"California Privacy Protection Agency (CPPA)","First dedicated state-level privacy agency (created by CPRA). 5-member board with strict independence and post-employment bans."
"CPPA Enforcement Lifecycle","1. Probable Cause Hearing (Private, 30 days notice)<br>2. Public Hearing (if probable cause found)."
"Massachusetts 201 CMR 17.00 (Scope)","Applies to ANY person (regardless of location) owning/licensing PI of a MA resident."
"WISP Mandate (MA 201 CMR 17.00)","Requires a Written Information Security Program. Includes designating an accountable employee, risk assessments, and encryption."
"California AB-1950 (Data Security)","First state-wide data security law. Requires 'reasonable security procedures' appropriate to the nature of the info."
"Self-Regulatory Organizations (SROs) - Benefits","Industry expertise, flexibility, speed of adaptation."
"Self-Regulatory Organizations (SROs) - Critiques","Potential anti-competitive behavior, lax enforcement ('fox guarding the henhouse'), lack of stakeholder input."
"PCI-DSS (Enforcement Model)","Standards set by PCI Council, but enforced by individual Card Brands (Visa/Amex) via fines ($5k-$100k/mo) on acquiring banks."
"Co-Regulatory Enforcement (Safe Harbor)","Government laws allow compliance via approved industry programs. Example: COPPA Safe Harbor (companies comply with FTC-approved programs like BBB or TrustArc instead of direct FTC oversight)."
"Social Security Numbers (California Prohibition)","Civil Code 1798.85 prohibits: Publicly posting SSNs, printing on ID cards, requiring for login without password, mailing with SSN visible, sending unencrypted over internet."
"Social Security Numbers (Colorado Prohibition)","Prohibits public entities from issuing a license, permit, or pass that contains the holder's SSN."
"Washington My Health My Data Act","Protects non-HIPAA health data, restricts geofencing near healthcare facilities, includes private right of action."
"Illinois Genetic Information Privacy Act (GIPA)","Prohibits genetic discrimination in employment/insurance; includes private right of action."
"New York Geofencing Restriction (Health)","Prohibits geofencing around healthcare facilities for advertising/profiling. Radius: 1,850 feet."
"Delaware DOPPA (Unique Feature)","Regulates disclosure of e-book viewing data. Requires court order showing 'compelling interest'."
"California Age-Appropriate Design Code","Requires high privacy defaults and DPIAs for services likely accessed by children."
"New York SAFE For Kids Act","Prohibits 'addictive feeds' for minors without parental consent. Nighttime notification ban (12 AM - 6 AM)."
"CalECPA","Requires warrants for law enforcement to access electronic communications (emails, location data)."
"Illinois BIPA (Consent)","Strict written consent required before collecting biometrics."
"Illinois BIPA (2024 Amendment)","Liability limits: One violation per person (not per scan). 'Written release' includes electronic signatures."
"Washington & Texas CUBI","Regulate biometric capture/sale but enforced ONLY by the State AG (no private right of action)."
"Facial Recognition Bans (State Examples)","Maryland (Hiring), New York (Schools), VT/ME/VA (Police/Gov use)."
"Colorado SB 24-205 (AI)","Regulates 'high-risk' AI systems making consequential decisions (hiring, lending)."
"NYC Local Law 144 (AI)","Requires bias audits for AI tools used in employment."
"CA Financial Information Privacy Act (CalFIPA)","Stricter than GLBA. Requires Opt-In for sharing with unaffiliated third parties."
"NYDFS Cybersecurity Regulation","Mandates rigorous security (CISO, Encryption, MFA) for financial institutions in NY."
"California Delete Act (Data Brokers)","Centralized deletion mechanism. 2028 Audit requirement (every 3 years). Penalty: $200/day per request."
"Vermont Data Broker Law (2018)","First state law regulating data brokers. Requires annual registration, security program, and free credit freezes."
"Sources of Law (Constitutional Law)","The highest possible source of law; no other law may conflict with it. Includes the Constitution and Supreme Court decisions interpreting it."
"Supremacy Clause (Article VI)","Establishes the Constitution as the supreme law of the land. State laws that conflict with federal law are preempted."
"Privacy Protections (Constitutional)","Derived from the 3rd (quartering soldiers), 4th (search & seizure), 5th (self-incrimination), and 14th (due process/liberty) Amendments."
"Penumbra Theory","Rights derived by implication from other explicitly protected rights. From *Griswold v. Connecticut* (1965), establishing 'zones of privacy' from the 1st, 3rd, 4th, 5th, and 9th Amendments."
"Sources of Law (Legislation/Statutes)","Laws passed by Congress (federal) or state legislatures. Federal laws are compiled in the *U.S. Code*."
"Preemption (Express)","The federal law specifically states it overrides state law (e.g., CAN-SPAM expressly preempts most state anti-spam laws)."
"Preemption (Implied)","Courts determine that Congress intended to preempt state law even if not explicitly stated."
"10th Amendment (Privacy Context)","Powers not delegated to the federal government are reserved to the States, allowing for state-level privacy laws (like CCPA) where federal law is silent."
"Sources of Law (Administrative Law)","Rules and regulations created by executive branch agencies (e.g., FTC, HHS) to implement statutes."
"Administrative Law (Formal vs. Informal)","**Formal:** Legally binding rules (e.g., HIPAA Privacy Rule). **Informal:** Guidance, reports, and workshops that interpret law but are not strictly binding."
"Administrative Enforcement Actions","Litigated before an Administrative Law Judge (ALJ). Governed by the **Administrative Procedure Act (APA)**."
"Sources of Law (Common Law)","Legal principles developed over time through judicial decisions rather than statutes."
"Stare Decisis","'To stand by things decided.' The principle that courts should follow prior precedent to keep the law stable."
"Common Law Torts (Privacy)","Civil wrongs like negligence or invasion of privacy often stem from common law."
"State Cybersecurity Safe Harbor (Concept)","Provides an **affirmative defense** against tort lawsuits (negligence) if the company proves its security program meets recognized standards."
"Safe Harbor Incentive","Encourages better security practices without mandating specific technologies (carrot vs. stick)."
"Recognized Frameworks (Safe Harbor)","NIST (SP 800-171/53, CSF), ISO 27001, CIS Controls, HIPAA, GLBA."
"First State to Enact Safe Harbor","**Ohio** (2018 Data Protection Act)."
"Connecticut Safe Harbor Nuance","Protects specifically against **punitive damages** (not actual damages)."
"Iowa Safe Harbor Nuance","Requires the program's cost to be appropriate to the risk, but compliance effectively presumes no negligence."
"Utah Safe Harbor","Follows the Ohio model (affirmative defense for compliance with frameworks)."
"Affirmative Defense (Legal Meaning)","Defendant admits the event occurred (breach) but introduces evidence (compliance) to negate liability."
"State Data Breach Laws (Timelines)","General rule: 'Without unreasonable delay' (30-60 days).<br>**Puerto Rico:** Stricter (10 days to agency, 24 hours public)."
"California SB 1386 (First Breach Law)","Enacted in 2003. First to require notification. Triggered by acquiring unencrypted PI (or encrypted PI + Key)."
"Substitute Notice (CA)","Allowed if cost > $250k OR affected > 500k people."
"Alabama & South Dakota (Last States)","Enacted in 2018, completing 50-state map."
"Breach Definition (Access vs. Acquisition)","**Acquisition:** Higher threshold (favors business).<br>**Access:** Lower threshold (favors consumer)."
"Georgia Breach Law Exception","Uniquely applies ONLY to **Information Brokers** and **Government Agencies** (not standard businesses)."
"Pennsylvania Notification Trigger","Timeline begins upon **Determination** (verification) not just **Discovery** (suspicion)."
"Texas Provision","Requires notifying residents of ANY state that lacks its own law."
"Massachusetts Notice Prohibition","Strictly PROHIBITS describing the nature of the breach or number of affected in the consumer notice (to prevent social engineering)."
"Tennessee/Illinois Encryption Key Rule","Must notify even for encrypted data if the **key** was also compromised."
"State Cybersecurity Safe Harbors (OH, UT, CT, IA)","Provide affirmative defense against torts if security program conforms to industry frameworks (NIST, ISO)."
"California (CCPA/CPRA) - Enforcement","Private Right of Action for security breaches. Agency: California Privacy Protection Agency (CPPA)."
"Virginia (VCDPA) - Enforcement","Enforced SOLELY by the Attorney General (No private right of action)."
"Colorado (CPA) - Appeals","First state to require an internal appeals process for denied requests (decision w/in 45 days)."
"Utah (UCPA) - Rights Limitations","1. Delete (only data provided by consumer).<br>2. No Profiling Opt-Out.<br>3. No Right to Correct."
"SEC Disclosure Rule (Public Companies)","Must disclose material cybersecurity incidents within **4 days**."
"California SSN Law","Prohibits public posting, printing on ID cards, mailing in window evenlopes, or sending unencrypted over internet."
"Washington My Health My Data Act","Protects non-HIPAA health data. Restricts geofencing. Private Right of Action."
"Illinois Genetic Information Privacy Act (GIPA)","Prohibits genetic discrimination in employment/insurance. Private Right of Action."
"New York Geofencing Restriction","Prohibits geofencing around healthcare facilities (within **1,850 feet**) for ads/profiling."
"Delaware (DOPPA) - E-Books","Non-gov entities need court order w/ 'compelling interest' to access e-book viewing data."
"California Age-Appropriate Design Code","Requires high privacy defaults & DPIAs for services likely accessed by children."
"New York SAFE For Kids Act","Bans 'addictive feeds' for minors w/o parental consent. Restricts notifications 12am-6am."
"CalECPA","Requires **warrant** for electronic communications access (email, location)."
"Illinois BIPA (Biometric Information Privacy Act)","Strict consent for biometrics. Private Right of Action. 2024 amendment: One violation per person (not per scan)."
"BIPA Definition Update","Now explicitly includes **electronic signatures** as valid written release."
"Maryland Facial Recognition Ban","Prohibits use in **hiring process** without applicant consent."
"New York Facial Recognition Ban","Prohibits use in **schools**."
"Colorado AI Law (SB 24-205)","Regulates 'High-Risk' AI systems making consequential decisions (hiring/lending)."
"NYC AI Law (Local Law 144)","Requires **Annual Bias Audits** for AI hiring tools."
"California Financial Information Privacy Act (CFIPA)","Stricter than GLBA. Requires Opt-In for sharing with unaffiliated third parties."
"California Delete Act (Data Brokers)","Centralized deletion mechanism. 2028: Independent audits every 3 years. Penalty: $200/day."
"Vermont Data Broker Law","First state data broker law. Requires annual registration, security program, free credit freezes."
"Telemarketing (Call Time Restriction)","Federal: 8am - 9pm (local time). States (e.g., AL) may be stricter."
"Telemarketing (Required Disclosures)","Promptly disclose: Identity of Seller, Purpose of call, Nature of goods/services."
"Telemarketing (Payment Auth)","Requires Express Verifiable Authorization (audio recording or written) for non-credit/debit payments."
"Do-Not-Call (Registry Scrubbing)","Sellers must access the National Registry every **31 days** and scrub lists."
"State DNC Registries","Many states maintain separate registries that must ALSO be honored."
"EBR Exception (DNC)","Established Business Relationship allows calls for **18 months** after purchase or **3 months** after inquiry."
"DNC Safe Harbor (6 Requirements)","1. Procedures.<br>2. Training.<br>3. Internal List.<br>4. Access National Registry.<br>5. Monitor.<br>6. Call was error."
"TCPA Private Right of Action","Consumers can sue for **$500** per violation (trebled to **$1,500** for willful)."
"Junk Fax Protection Act (JFPA)","Regulates unsolicited fax ads. Generally requires EBR + Voluntary provision of number."
"JFPA Opt-Out Notice","Must appear on first page, be cost-free (24/7), and honored within **30 days**."
"CAN-SPAM (Scope)","Regulates all commercial electronic messages (email, social media, SMS to email)."
"CAN-SPAM (Transactional Exemption)","No opt-out required for transactional messages (e.g., receipts). Primary purpose test applies."
"CAN-SPAM (Requirements)","1. No false headers.<br>2. No deceptive subjects.<br>3. Honor Opt-Out (10 days).<br>4. Physical Address included."
"Wireless Domain Registry (FCC)","Senders must check this list to ensure no commercial messages are sent to mobile domains without **express prior authorization**."
"CAN-SPAM Preemption","Preempts most state laws EXCEPT those prohibiting falsity/deception."
"Video Privacy Protection Act (VPPA)","Regulates video tape service providers (and streaming). Prohibits disclosure of viewing history without informed, written consent."
"VPPA (2012 Amendment)","Allows one-time consent (e.g., for social sharing) valid for up to **2 years**."
"VPPA (Destruction)","Data must be destroyed as soon as practicable, no later than **1 year** after purpose expires."
"Cable Communications Policy Act (1984)","Regulates cable operators (NOT broadband ISPs). Requires annual notice and consent for collection/disclosure."
"Cable Act Damages","Statutory damages of **$100/day** or **$1,000** (whichever is higher)."
"Driver's Privacy Protection Act (DPPA)","Protects driver's license info. Upheld in *Reno v. Condon* under **Commerce Clause** authority."
"DPPA Permissible Uses (Marketing)","Marketing allowed ONLY with **express consent (Opt-In)**."
"CPNI (Customer Proprietary Network Information)","Metadata about telecom usage (technical config, destination, amount of use). Enforced by FCC."
"CPNI vs. Subscriber List Info","Subscriber List Info (Name/Address/Phone) is PUBLIC and not protected CPNI."
"CPNI Breach Notification","Notify Law Enforcement (USSS/FBI) within **7 business days**. CANNOT notify customer until period passes."
"Title VII of Civil Rights Act (1964) Scope","Prohibits discrimination based on **race, color, religion, national origin, or sex**."
"Disparate Treatment (Definition)","Intentional discrimination against an individual based on a protected trait."
"Disparate Impact (Definition)","A policy that is facially neutral (unintentional) but falls more harshly on a protected group (e.g., strength test excluding women)."
"Age Discrimination in Employment Act (ADEA)","Prohibits discrimination against applicants and employees who are **40 years of age or older**."
"Pregnancy Discrimination Act (PDA)","Amends Title VII. Prohibits discrimination based on pregnancy, childbirth, or related medical conditions."
"Equal Pay Act of 1963","Prohibits wage disparity based on **sex** for equal work performed under similar conditions."
"Bankruptcy Act (Employment Protection)","Prohibits employers from firing or discriminating against an employee **solely** because they have filed for bankruptcy."
"Americans with Disabilities Act (ADA) Scope","Prohibits discrimination against qualified individuals who can perform essential functions with **reasonable accommodation**."
"ADA 'Undue Hardship'","Employers are not required to provide accommodations that cause significant difficulty or expense."
"ADA Medical Exams (Pre-Offer)","Strictly **Prohibited**."
"ADA Medical Exams (Post-Offer)","Permitted if required for all employees in that category and results are kept in **separate, confidential files**."
"GINA (Employment Protections)","Prohibits using genetic info (including family medical history) for hiring, firing, or promotion."
"GINA (Health Insurance)","Prohibits health plans from using genetic info for **underwriting** or discriminating based on **predisposition** to disease."
"GINA (Genetic Testing)","Insurers are prohibited from requiring individuals to undergo genetic tests (except for voluntary research)."
"EEOC 'Right to Sue'","A private lawsuit can ONLY be filed after the EEOC process is exhausted and the agency issues a **Right to Sue letter**."
"Legislative Branch (Role)","Creates new laws and revises existing ones."
"Legislative Branch (Source of Power)","Article I of the U.S. Constitution (Article I powers)."
"Legislative Branch (Check on Executive)","Holds the power of the purse (spending) and the power of impeachment (majority vote in House, 2/3 conviction in Senate)."
"House of Representatives (Composition)","435 voting members, based on population, elected to two-year terms."
"Senate (Composition)","100 voting members (two per state), elected to six-year terms."
"Executive Branch (Role)","Carries out and enforces the laws created by the legislative branch."
"Executive Branch (Source of Power)","Article II of the U.S. Constitution (Article II powers)."
"Executive Branch (Check on Legislative)","Veto power over bills passed by Congress (Congress can override with a 2/3 majority in both houses). The power to enforce (or decline to enforce) laws."
"Judicial Branch (Role)","Interprets the meaning of laws, resolves disputes, and determines constitutionality."
"Judicial Branch (Source of Power)","Article III of the U.S. Constitution."
"Judicial Review","The power to strike down laws or practices that conflict with the U.S. Constitution (Check on Legislative & Executive)."
"U.S. District Courts","The trial courts of the federal system."
"U.S. Circuit Courts of Appeal","Intermediate courts that accept cases on appeal from District Courts. Decisions are binding only within their geographic circuit."
"U.S. Supreme Court","Highest court. Decisions are final and binding on all inferior courts. Determines which cases to accept through certiorari."
"Data Controller Liability (Vendors)","The Controller remains legally responsible for any misuse of data by its vendors (Processors)."
"Vendor Vetting Criteria (Financial Stability)","Includes assessing if the vendor has appropriate **cyberinsurance** to cover breaches/litigation."
"Vendor Vetting Criteria (Security Controls)","Vendor controls must be as good as or better than the Controller's (e.g., evidenced by SOC 2, ISO 27001)."
"Confidentiality Clause","Prohibition on sharing data with unauthorized parties."
"No Further Use Clause","Vendor must not use data for any purpose other than those specified in the agreement."
"Audit Rights","Controller must retain the right to audit the vendor's security/privacy practices."
"Subcontractor Flow-Down","Vendors must be contractually obligated to apply the same privacy/security requirements to any downstream subcontractors."
"End of Relationship Clause","Must specify whether data is returned or deleted at the end of the contract."
"Master Service Agreement (MSA)","Umbrella contract for long-term work, including general security/privacy requirements."
"Statement of Work (SOW)","Documents project-specific details, referencing the overarching MSA."
"Service-Level Agreement (SLA)","Specifies conditions of service (availability, response time) and remedies for failure."
"Business Associate Agreement (BAA)","Required by HIPAA. Obligates vendors (Business Associates) to comply with HIPAA security/privacy rules."
"Vendor Incident Management","Agreements must clearly spell out the vendor's obligation to report known/suspected security incidents to the customer."
"Workforce Training (Timing)","Regular, ongoing basis (often Computer-Based Training - CBT)."
"Role-Based Training","Customized to job responsibilities (e.g., highly technical for admins, social engineering for customer service)."
"Script Kiddies","Unskilled attackers using pre-built tools for thrill/convenience."
"Hacktivists","Attackers motivated by political/social causes (activist goals)."
"Criminal Syndicates","Organized groups motivated by illegal financial gain."
"Advanced Persistent Threats (APTs)","Nation-state actors/sophisticated groups. Long-term campaigns for espionage/intellectual property theft."
"Insiders","Employees/contractors with authorized access who misuse it."
"Zero-Day Attacks","Exploits unknown to vendors (no patch available). Often used by APTs."
"Ransomware","Malware encrypting data for ransom. Newer variants threaten data disclosure (double extortion)."
"Security Event (NIST)","Any observable occurrence in a system/network."
"Security Incident (NIST)","A violation or imminent threat of violation of security policies."
"Incident Response Plan (4 Phases - NIST)","1. Preparation.<br>2. Detection & Analysis.<br>3. Containment, Eradication, & Recovery.<br>4. Post-Incident Activity."
"Containment Strategy","Active measures to stop the spread of an incident while evidence is gathered."
"Post-Incident Activity","Lessons-learned review (ideally independent) and evidence retention."
"Playbooks","Step-by-step response guides for SPECIFIC incident types (e.g., 'Phishing Playbook')."
"FTC Data Breach Response (4 Steps)","1. Secure Operations (Containment).<br>2. Analyze/Fix Vulnerabilities.<br>3. Notify Parties.<br>4. Proactive Steps (Audits)."
"Data Breach Notification (US)","No single federal law (except specific sectors like HIPAA). ALL 50 states have their own notification laws."
"Department of Labor (DOL)","Enforces FLSA (Labor Standards) and ERISA (Benefits Privacy)."
"Equal Employment Opportunity Commission (EEOC) Structure","Five members appointed by President regarding anti-discrimination (ADA, Title VII, GINA)."
"National Labor Relations Board (NLRB)","Protects collective bargaining/organizing. Regulates surveillance intimidating union activities."
"NLRB v. Colgate-Palmolive","Ruled covert video surveillance is a mandatory subject of collective bargaining."
"At-Will Employment","Default US rule. Employers can fire/change terms for any (non-illegal) reason. Grants broad monitoring authority."
"Title VII of Civil Rights Act (1964)","Prohibits discrimination based on race, color, religion, nat'l origin, sex."
"Disparate Treatment","Intentional discrimination based on a protected trait."
"Disparate Impact","Facially neutral policy that disproportionately effects a protected group (unintentional)."
"Age Discrimination in Employment Act (ADEA)","Protects employees/applicants **40+** years old."
